2.08811188,0.5512
8.56759379,0.5105
2.86948752,0.5356
8.54328496,0.5896
2.22771621,0.6577
0.01968565,4.3214
0.06019225,2.7359
6.65170396,4.8546
6.89078805,4.8331
0.06192029,5.166
0.04414145,2.7267
0.60696495,2.6515
8.061218,0.6926
0.07861057,4.496
0.14542429,4.2582
0.00585561,4.9922
0.00321919,5.834
0.03266081,4.8202
1.68837905,1.4663
0.53540999,3.1476
3.49626589,0.3309
0.220571,2.3211
0.07187251,2.9985
0.04661242,4.5721
8.8909142,1.0933
8.64098764,1.307
9.17823067,0.8263
0.29519618,3.2781
0.111463,2.8798
0.00809096,4.8948
0.972022,2.64
2.12759781,2.5387
0.18625447,4.0766
0.17217717,2.4416
30,4.9676
0.06835548,4.405
0.10522493,4.1702
8.92361215,2.7549
5.0782814,1.1578
8.67888033,0.4342
0.0410874,3.9008
0.00831768,6.1409
0.13809225,3.4407
2.28841496,1.7266
0.35552746,2.8967
0.04671947,4.0027
0.01707986,5.688
0.06169063,3.9247
1.9946264,1.6332
8.64501736,1.7406
8.69467612,0.7352
7.50185108,0.343
2.28380489,0.3739
0.06477038,5.1669
0.66730833,2.4904
0.06588871,5.1481
0.05646325,4.2477
0.36781395,3.3191
5.61612177,1.2814
9.51212669,0.369
0.20028009,3.8043
0.05667638,2.3201
0.00435613,6.3787
0.07697969,3.844
0.09758703,3.7961
0.49920473,1.9092
8.5127948,2.8339
1.01916623,2.0636
0.02439176,5.5755
0.10090192,4.1846
8.65741677,1.366
0.87387824,2.2263
0.18455119,2.7908
0.02718903,5.3331
0.14548986,3.7921
8.48184937,1.0455
3.16506338,1.1718
8.73587311,0.9703
1.08150327,2.9575
0.35051486,3.2757
0.10071886,4.3178
0.05792563,4.663
0.16348743,2.5285
0.34637237,3.0798
5.62151766,1.1127
8.36211606,0.5807
8.15495894,0.3904
3.23569274,0.6253
0.02159889,5.0957
0.05316469,4.9078
0.03640546,3.4205
0.00395629,6.817
0.00288835,6.2917
0.01650636,4.9954
0.39385644,2.9187
0.14358024,3.8758
5.17747927,1.0836
1.53732705,0.791
0.18424618,3.4746
0.1964322,3.9819
6.79025801,2.855
0.08334608,4.3878
0.18243536,2.1509
0.38217902,3.6587
0.00360219,6.704
1.82723892,1.5503
7.36651897,0.3177
9.10469347,0.4889
4.51030064,0.3853
6.7286067,0.6353
0.10175824,3.2074
0.072925,4.4701
6.3310727,6.4953
0.05582368,4.3554
8.41795654,2.1702
0.25357246,3.5181
5.35153961,1.0717
0.0447228,4.2296
7.38046782,2.7093
0.00669367,5.5901
0.04475528,4.5453
1.25619507,2.1382
3.12684393,1.3801
7.53994083,0.6312
0.07373188,4.248
0.39979258,1.2624
1.41184449,1.2647
8.57311733,1.9066
0.0059023,5.3639
0.08333571,3.219
4.5321722,1.037
4.22320843,1.2417
5.05964613,0.2385
0.17095394,3.7623
8.86769622,1.3086
0.13877483,3.8037
0.07598692,4.2576
0.70084608,2.76
0.69618785,1.4667
0.01628928,5.5189
0.16059221,3.3199
1.79957604,1.8158
1.72662628,1.3231
