8,0.5512,-42.350578
7.81098366,0.5105,-51.469002
8,0.5356,-45.383526
8,0.5896,-42.729702
4.74439478,0.6577,-51.204674
0.02909002,4.3214,-93.878899
0.218933,2.7359,-84.27935
0.03187423,4.8546,-97.335144
0.0188246,4.8331,-89.217056
0.05382193,5.166,-97.519432
0.15641961,2.7267,-93.119102
0.43645909,2.6515,-93.105904
7.25318718,0.6926,-71.83094
0.0817935,4.496,-91.196251
0.1395881,4.2582,-84.632797
0.01303635,4.9922,-87.154533
0.00259078,5.834,-79.176056
0.03591569,4.8202,-96.47554
1.90278995,1.4663,-86.815948
0.46733886,3.1476,-91.899849
8,0.3309,-27.508858
0.34925783,2.3211,-54.899517
0.34896284,2.9985,-51.610203
0.04720604,4.5721,-98.572029
5.0056963,1.0933,-80.641274
4.64430475,1.307,-71.816002
7.6384511,0.8263,-52.347771
0.61079699,3.2781,-61.16103
0.24403888,2.8798,-63.594601
0.01525946,4.8948,-83.92984
0.94170368,2.64,-95.162819
1.01014376,2.5387,-87.714157
0.18541798,4.0766,-95.396378
0.58970171,2.4416,-51.724682
0.00456839,4.9676,-70.799385
0.06942247,4.405,-97.120781
0.11007609,4.1702,-95.536362
1.00267649,2.7549,-80.067116
4.30087042,1.1578,-93.293907
8,0.4342,-30.046995
0.07667579,3.9008,-85.357719
0.00685834,6.1409,-88.3787
0.18238114,3.4407,-94.436256
2.27993035,1.7266,-96.233353
0.46638501,2.8967,-88.594719
0.06116738,4.0027,-75.609993
0.0151991,5.688,-91.694717
0.07781612,3.9247,-94.012413
2.83311272,1.6332,-67.676163
3.16231704,1.7406,-73.820114
6.40121698,0.7352,-71.80191
8,0.343,-32.335526
8,0.3739,-26.731909
0.06039799,5.1669,-94.691765
0.75022024,2.4904,-89.664268
0.05367249,5.1481,-93.447586
0.07264311,4.2477,-95.444122
0.31984401,3.3191,-97.932426
3.49116302,1.2814,-97.187263
8,0.369,-38.843998
0.20434438,3.8043,-94.83754
0.32474542,2.3201,-66.420631
0.00323887,6.3787,-97.012115
0.08349977,3.844,-93.287056
0.08975698,3.7961,-93.598694
0.62597644,1.9092,-74.932762
3.66644931,2.8339,-66.965019
1.15256405,2.0636,-90.382881
0.02092921,5.5755,-89.861397
0.10406112,4.1846,-95.141396
3.89701176,1.366,-71.097023
0.98449844,2.2263,-87.231926
0.28988138,2.7908,-62.77758
0.02423591,5.3331,-88.7957
0.14255695,3.7921,-98.779762
6.92980576,1.0455,-52.900181
5.51427651,1.1718,-51.863441
7.37124205,0.9703,-53.180546
1.25402212,2.9575,-77.252724
0.37030938,3.2757,-93.191246
0.10171413,4.3178,-81.058243
0.05829858,4.663,-94.525887
0.39829162,2.5285,-68.524124
0.37425539,3.0798,-91.894974
5.84458494,1.1127,-77.024284
8,0.5807,-32.195019
8,0.3904,-34.422974
8,0.6253,-40.820126
0.02371369,5.0957,-90.387726
