ec50UM,ic50UM,aMax,actArea
0.05582368,0.06559268,-97.895775,4.3554
8.41795654,1.90419352,-81.141609,2.1702
0.25357246,0.2545574,-97.818092,3.5181
5.35153961,4.26979828,-62.182579,1.0717
0.0447228,0.06035626,-78.51622,4.2296
7.38046782,0.64086336,-64.51931,2.7093
0.00669367,0.00747216,-84.418404,5.5901
0.04475528,0.04966767,-100.072502,4.5453
1.25619507,1.25751376,-100.848457,2.1382
3.12684393,3.30460358,-81.803864,1.3801
7.53994083,8,-25.684914,0.6312
0.07373188,0.07989961,-82.280266,4.248
0.39979258,2.15147591,-55.130425,1.2624
1.41184449,2.26099157,-69.816551,1.2647
8.57311733,2.8992424,-59.877445,1.9066
0.0059023,0.00605461,-75.495956,5.3639
0.08333571,0.14973523,-85.719543,3.219
4.5321722,3.77301145,-73.670601,1.037
4.22320843,4.23589182,-79.205078,1.2417
5.05964613,8,-27.203976,0.2385
0.17095394,0.17544498,-91.585587,3.7623
8.86769622,4.9774785,-66.764664,1.3086
0.13877483,0.15282361,-97.30481,3.8037
0.07598692,0.07861393,-92.834412,4.2576
0.70084608,0.71019572,-86.844154,2.76
0.69618785,1.40102863,-68.024902,1.4667
0.01628928,0.01368268,-85.178299,5.5189
0.16059221,0.17269613,-94.13414,3.3199
1.79957604,2.15693617,-69.185326,1.8158
1.72662628,2.574543,-70.37146,1.3231
0.25632247,0.26924247,-81.625336,3.1735
8.72720785,2.27335525,-98.190926,1.0965
0.02493861,0.02394835,-84.498734,3.8109
0.01108922,0.01345135,-94.242401,4.147
3.4593029,3.54994893,-88.086945,0.9707
8.88390838,8,-37.406071,0.2454
0.14163804,0.60418057,-64.302635,3.1061
0.6687488,0.78827512,-82.086662,2.8093
0.04355988,0.08410999,-73.439766,3.742
0.00794831,0.0071775,-80.740417,5.8173
0.10779984,0.1285076,-93.575752,3.8094
0.56477827,0.64450645,-85.011581,2.9748
0.78889209,0.81148475,-90.082909,2.8684
8.69731493,8,-49.985443,0.4685
6.6256814,8,-29.867563,0.466
0.07848547,0.0753748,-89.973198,4.5305
0.0873001,0.10288962,-98.337997,3.9365
0.7803424,0.43177521,-97.285881,3.9397
8.01382636,8,-26.676596,0.3991
7.98085165,8,-42.489883,0.3126
0.07075336,0.08090498,-73.289726,3.8432
